rec_id,nr_hit,species,group member,method,classification,notes,Old_rec_id,Old_fasta_name
sp|Q9AH17|SOPB_SALBNInositol,WP_001166942.1,Salmonella bongori,,,,,,
gi|339513205|emb|CCC30955.1|Chimeric,CCC30955.1,Salmonella bongori NCTC 12419,,,,,,
F8VGD4,ASG54447.1,Salmonella bongori serovar 66:z41:- str. SA19983605,,,,,,
sp|Q57MS9|SOPA_SALCHE3,Q57MS9.2,Salmonella choleraesuis (strain SC-B67),,,,,,
sp|O06949|SOPE_SALDUGuanine,O06949.3,Salmonella dublin,,,,,,
sp|O34105|SOPB_SALDUInositol,O34105.1,Salmonella dublin,,,,,,
sp|Q9S4P4|SOPA_SALDUE3,Q9S4P4.1,Salmonella dublin,,,,,,
AAK63084.1,WP_079805143.1,Salmonella enterica,,,,,,
AAL21188.1,WP_014343870.1,Salmonella enterica,,,,,,
AAV76578.1,WP_048888997.1,Salmonella enterica,,,,,,
ACH76391.1,WP_000161701.1,Salmonella enterica,,,,,,
ACH77786.1,WP_001166952.1,Salmonella enterica,,,,,,
B3YIU9,WP_001518907.1,Salmonella enterica,,,,,,
B5BZ46,EAO8872471.1,Salmonella enterica,,,,,,
B5CJE6,WP_000805839.1,Salmonella enterica,,,,,,
B5MTC9,WP_001525310.1,Salmonella enterica,,,,,,
B5N7F5,WP_000704096.1,Salmonella enterica,,,,,,
B5QDV8,WP_001537495.1,Salmonella enterica,,,,,,
B5RA48,WP_001131426.1,Salmonella enterica,,,,,,
C0Q2Y0,EBA4479710.1,Salmonella enterica,,,,,,
E7VM04,WP_001531091.1,Salmonella enterica,,,,,,
E8AJE0,ECH0317568.1,Salmonella enterica,,,,,,
E8EYG6,WP_001017729.1,Salmonella enterica,,,,,,
E8NKB0,WP_001539723.1,Salmonella enterica,,,,,,
E9A032,WP_001123025.1,Salmonella enterica,,,,,,
E9A2Z1,WP_001534809.1,Salmonella enterica,,,,,,
G5L8X7,WP_001579848.1,Salmonella enterica,,,,,,
G5LAD2,EAY5048924.1,Salmonella enterica,,,,,,
G5MJ00,WP_000805849.1,Salmonella enterica,,,,,,
G5NEA9,WP_001624434.1,Salmonella enterica,,,,,,
G5NUS2,WP_001629551.1,Salmonella enterica,,,,,,
G5P675,WP_001633152.1,Salmonella enterica,,,,,,
G5PNQ0,WP_000805848.1,Salmonella enterica,,,,,,
G5PNQ1,WP_000690724.1,Salmonella enterica,,,,,,
G5PP90,WP_001638229.1,Salmonella enterica,,,,,,
G5Q3B5,WP_000805853.1,Salmonella enterica,,,,,,
G5Q3B6,WP_000690726.1,Salmonella enterica,,,,,,
G5Q3X9,WP_001552097.1,Salmonella enterica,,,,,,
G5QZU7,WP_001649360.1,Salmonella enterica,,,,,,
G5R1C9,WP_001649830.1,Salmonella enterica,,,,,,
G5RG62,WP_000690711.1,Salmonella enterica,,,,,,
gi|261247452|emb|CBG25278.1|secreted,WP_014343868.1,Salmonella enterica,,,,,,
gi|61658891|gb|AAX49626.1|SseF,EAY7827551.1,Salmonella enterica,,,,,,
sp|A9MJD1|SSEL_SALARDeubiquitinase,WP_001017748.1,Salmonella enterica,,,,,,
sp|B4SX34|SOPA_SALNSE3,EFT1260125.1,Salmonella enterica,,,,,,
sp|B4T918|SOPA_SALHSE3,WP_094790145.1,Salmonella enterica,,,,,,
sp|B5FM34|SOPA_SALDCE3,WP_000703992.1,Salmonella enterica,,,,,,
sp|C9X8K0|SOPA_SALTDE3,WP_000703995.1,Salmonella enterica,,,,,,
sp|D0ZRB2|SLRP_SALT1E3,WP_000481997.1,Salmonella enterica,,,,,,
sp|Q56061|SIFA_SALTYSecreted,WP_094889292.1,Salmonella enterica,,,,,,
sp|Q57M66|SSEL_SALCHDeubiquitinase,WP_011264333.1,Salmonella enterica,,,,,,
sp|Q5PEA9|SPTP_SALPASecreted,WP_000946993.1,Salmonella enterica,,,,,,
sp|Q7BD17|SOPE_SALETGuanine,WP_000161708.1,Salmonella enterica,,,,,,
sp|Q7CQD4|SOPE2_SALTYGuanine,EDF9144740.1,Salmonella enterica,,,,,,
sp|Q8VPM1|SOPE_SALHAGuanine,WP_000161703.1,Salmonella enterica,,,,,,
sp|Q8VSR1|SOPE_SALEEGuanine,WP_023187541.1,Salmonella enterica,,,,,,
sp|Q8VSR2|SOPE_SALHOGuanine,WP_002953107.1,Salmonella enterica,,,,,,
sp|Q8Z550|SSEL_SALTIDeubiquitinase,WP_001017745.1,Salmonella enterica,,,,,,
sp|Q9AH18|SOPB_SALHOInositol,WP_002950442.1,Salmonella enterica,,,,,,
sp|Q9RER2|SOPB_SALBLInositol,EBT6049269.1,Salmonella enterica,,,,,,
tr|A9MG90|A9MG90_SALARUncharacterized,WP_001122915.1,Salmonella enterica,,,,,,
tr|B5R8S6|B5R8S6_SALG2Type,WP_000161702.1,Salmonella enterica,,,,,,
tr|Q57P56|Q57P56_SALCHTranslocated,WP_011264289.1,Salmonella enterica,,,,,,
tr|Q8ZMY7|Q8ZMY7_SALTYGifsy-1,WP_001110786.1,Salmonella enterica,,,,,,
B5MTV2,EAW1943412.1,Salmonella enterica subsp. enterica,,,,,,
CigR_ATI92326.1,ATI92326.1,Salmonella enterica subsp. enterica,,,,,,
G5LQ02,EAA5985666.1,Salmonella enterica subsp. enterica,,,,,,
sp|Q9AH19|SOPB_SALDZInositol,ECH6750995.1,Salmonella enterica subsp. enterica,,,,,,
tr|Q8ZQA1|Q8ZQA1_SALTYGifsy-2,EAB9924478.1,Salmonella enterica subsp. enterica,,,,,,
B3Y9R2,WP_000690714.1,Salmonella enterica subsp. enterica serovar,,,,,,
B3Y9R3,WP_000805837.1,Salmonella enterica subsp. enterica serovar,,,,,,
B5BZW2,WP_000805833.1,Salmonella enterica subsp. enterica serovar,,,,,,
B5CJE5,WP_000690706.1,Salmonella enterica subsp. enterica serovar,,,,,,
B5PL45,WP_000805840.1,Salmonella enterica subsp. enterica serovar,,,,,,
E8F9Y3,WP_000805852.1,Salmonella enterica subsp. enterica serovar,,,,,,
E8F9Y4,WP_000690712.1,Salmonella enterica subsp. enterica serovar,,,,,,
E8NNF1,WP_000690707.1,Salmonella enterica subsp. enterica serovar,,,,,,
E8NNF2,WP_000805835.1,Salmonella enterica subsp. enterica serovar,,,,,,
E8NNS3,WP_000182074.1,Salmonella enterica subsp. enterica serovar,,,,,,
E9A5D3,WP_023201826.1,Salmonella enterica subsp. enterica serovar,,,,,,
F2FZE0,WP_000805846.1,Salmonella enterica subsp. enterica serovar,,,,,,
G5L9Q7,WP_001580222.1,Salmonella enterica subsp. enterica serovar,,,,,,
G5MJ01,WP_000690713.1,Salmonella enterica subsp. enterica serovar,,,,,,
G5MYB7,WP_000690720.1,Salmonella enterica subsp. enterica serovar,,,,,,
F5ZTM4,AGQ87110.1,"Salmonella enterica subsp. enterica serovar 4,(5),12:i:- str. 08-1736",,,,,,
G5LAD3,EHC35680.1,Salmonella enterica subsp. enterica serovar Adelaide str. A4-669,,,,,,
G5LNN5,EHC39737.1,Salmonella enterica subsp. enterica serovar Alachua str. R6-377,,,,,,
G5LPC8,EHC38913.1,Salmonella enterica subsp. enterica serovar Alachua str. R6-377,,,,,,
G5L9Q6,APT77662.1,Salmonella enterica subsp. enterica serovar Cerro,,,,,,
AAX65982.1,Q57MS9.2,Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67,,,,,,
F2FID1,EGE29819.1,Salmonella enterica subsp. enterica serovar Dublin str. SD3246,,,,,,
gi|206708426|emb|CAR32737.1|type,WP_000161704.1,Salmonella enterica subsp. enterica serovar Enteritidis str. P125109,,,,,,
gi|206709466|emb|CAR33808.1|secreted,WP_001676053.1,Salmonella enterica subsp. enterica serovar Enteritidis str. P125109,,,,,,
G5M4P2,EHC35978.1,Salmonella enterica subsp. enterica serovar Gaminara str. A4-567,,,,,,
B5QCF9,ACF66790.1,Salmonella enterica subsp. enterica serovar Heidelberg str. SL476,,,,,,
G5MYB6,EHC51260.1,Salmonella enterica subsp. enterica serovar Hvittingfoss str. A4-620,,,,,,
gi|13096377|pdb|1G4U|SChain,ECT4951740.1,Salmonella enterica subsp. enterica serovar Infantis,,,,,,
E8F1X3,WP_001131418.1,Salmonella enterica subsp. enterica serovar Montevideo,,,,,,
E8FZ79,EGA38899.1,Salmonella enterica subsp. enterica serovar Montevideo str. IA_2010008283,,,,,,
E8D9Z5,EGA03390.1,Salmonella enterica subsp. enterica serovar Montevideo str. MB102109-0047,,,,,,
E7XTF4,EFY48654.1,Salmonella enterica subsp. enterica serovar Montevideo str. OH_2009072675,,,,,,
B4AAE6,EBL5810800.1,Salmonella enterica subsp. enterica serovar Newport,,,,,,
B4AAL9,EDX48945.1,Salmonella enterica subsp. enterica serovar Newport str. SL317,,,,,,
G5LPC7,EDX4802972.1,Salmonella enterica subsp. enterica serovar Paratyphi A,,,,,,
sp|Q57KZ6|PIPB2_SALCHSecreted,ACN46915.1,Salmonella enterica subsp. enterica serovar Paratyphi C str. RKS4594,,,,,,
B5CHY2,ACF89076.1,Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633,,,,,,
G5R0N3,EHC88006.1,Salmonella enterica subsp. enterica serovar Senftenberg str. A4-543,,,,,,
G5R0N4,EHC88007.1,Salmonella enterica subsp. enterica serovar Senftenberg str. A4-543,,,,,,
gi|25512981|pir||AG0786secreted,WP_001115839.1,Salmonella enterica subsp. enterica serovar Typhi,,,,,,
CAD07520.1,AF0792,Salmonella enterica subsp. enterica serovar Typhi str. CT18,,,,,,
sp|Q8Z4G9|PIPB2_SALTISecreted,AEZ46471.1,Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12,,,,,,
E7UY63,AIE05276.1,Salmonella enterica subsp. enterica serovar Typhimurium,,,,,,
gi|16974849|pdb|1JYO|EChain,CAB3269082.1,Salmonella enterica subsp. enterica serovar Typhimurium,,,,,,
gi|226438309|pdb|3G06|AChain,3G06_A,Salmonella enterica subsp. enterica serovar Typhimurium,,,,,,
gi|3776125|emb|CAA12191.1|SseF,CAA12191.1,Salmonella enterica subsp. enterica serovar Typhimurium,,,,,,
sp|P40722|SOPD_SALTYSecreted,KMJ26268.1,Salmonella enterica subsp. enterica serovar Typhimurium,,,,,,
sp|Q8ZQQ2|SLRP_SALTYE3,EBV0613841.1,Salmonella enterica subsp. enterica serovar Typhimurium,,,,,,
tr|H9L446|H9L446_SALTYSecretion,KLT13461.1,Salmonella enterica subsp. enterica serovar Typhimurium,,,,,,
tr|Q2QHF9|Q2QHF9_SALTMPutative,AAZ76144.1,Salmonella enterica subsp. enterica serovar Typhimurium,,,,,,
tr|Q8ZMI3|Q8ZMI3_SALTYPutative,EBV3011379.1,Salmonella enterica subsp. enterica serovar Typhimurium,,,,,,
tr|Q9L9J3|Q9L9J3_SALTYPutative,EBW3373357.1,Salmonella enterica subsp. enterica serovar Typhimurium,,,,,,
common_SrfJ__uniprot_H9L4C2__genbank_AAL23246.1__species_Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2,AAL23246.1,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Naama,CyaA,proven,,,
E8XJ49,ADX17301.1,Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74,,,,,,
E8XK20,ADX18562.1,Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74,,,,,,
G5RG61,EHC91631.1,Salmonella enterica subsp. enterica serovar Uganda str. R8-3404,,,,,,
G5RV52,WP_001131418.1,Salmonella enterica subsp. enterica serovar Urbana,,,,,,
G5SD27,EHD02266.1,Salmonella enterica subsp. enterica serovar Wandsworth str. A4-580,,,,,,
E9A1S3,CBY95683.1,Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1,,,,,,
AAL67191.1,AAL67191.1,Salmonella enterica subsp. houtenae,,,,,,
sp|Q8VQB5|SIPA_SALENCell,WP_000258819.1,Salmonella enteritidis,,,,,,
B5R526,WP_001131425.1,Salmonella enteritidis PT4,,,,,,
sp|B5QZK6|SOPA_SALEPE3,WP_000703991.1,Salmonella enteritidis PT4,,,,,,
sp|Q5PEX4|PIPB2_SALPASecreted,WP_011233153.1,Salmonella paratyphi A,,,,,,
sp|Q5PFI5|SOPE_SALPAGuanine,WP_000161709.1,Salmonella paratyphi A,,,,,,
sp|Q5PHN0|SOPE2_SALPAGuanine,WP_001284212.1,Salmonella paratyphi A,,,,,,
sp|Q5PI48|SSEL_SALPADeubiquitinase,WP_001017746.1,Salmonella paratyphi A,,,,,,
sp|A9N5C6|SSEL_SALPBDeubiquitinase,WP_001017732.1,Salmonella paratyphi B,,,,,,
G5MJM4,WP_001611910.1,Salmonella rubislaw,,,,,,
G5QK75,WP_001644649.1,Salmonella rubislaw,,,,,,
sp|B4TMK5|SOPA_SALSVE3,WP_000704007.1,Salmonella schwarzengrund (strain CVM19633),,,,,,
sp|P74849|SIPA_SALTICell,WP_000258814.1,Salmonella typhi,,,,,,
sp|P74851|SPTP_SALTISecreted,WP_000946989.1,Salmonella typhi,,,,,,
sp|Q8Z7R1|SOPB_SALTIInositol,WP_001166955.1,Salmonella typhi,,,,,,
common_SteB__uniprot_Q8ZPA6__genbank_WP_001540100.1__species_Salmonella_typhimurium,WP_001540100.1,Salmonella typhimurium,Iris,Cya,proven,,sp|D0ZI38|STEB_SALT1Secreted,sp|D0ZI38|STEB_SALT1Secreted_Salmonella_typhimurium effector protein SteB OS=Salmonella typhimurium (strain 14028s / SGSC 2262) GN=steB PE=3 SV=1|24391954|
common_SteC__uniprot_Q8ZP57__genbank_WP_001116926.1__species_Salmonella_typhimurium,WP_001116926.1,Salmonella typhimurium,Iris,Cya,proven,,sp|D0ZIB5|STEC_SALT1Secreted,sp|D0ZIB5|STEC_SALT1Secreted_Salmonella_typhimurium effector kinase SteC OS=Salmonella typhimurium (strain 14028s / SGSC 2262) GN=steC PE=3 SV=1|24391954|
sp|D0ZMG9|SOPA_SALT1E3,WP_000703998.1,Salmonella typhimurium,,,,,,
sp|D0ZPH9|SSPH2_SALT1E3,WP_001115840.1,Salmonella typhimurium,,,,,,
sp|D0ZVG2|SSPH1_SALT1E3,WP_000481981.1,Salmonella typhimurium,,,,,,
common_SteA__uniprot_Q8ZPD7__genbank_WP_001147134.1__species_Salmonella_typhimurium,WP_001147134.1,Salmonella typhimurium,Iris,Cya,proven,,sp|D0ZXR5|STEA_SALT1Secreted,sp|D0ZXR5|STEA_SALT1Secreted_Salmonella_typhimurium effector protein SteA OS=Salmonella typhimurium (strain 14028s / SGSC 2262) GN=steA PE=4 SV=1|24391954|
sp|E1WAC6|SIPA_SALTSCell,WP_000258811.1,Salmonella typhimurium,,,,,,
sp|O30916|SOPB_SALTYInositol,WP_001166946.1,Salmonella typhimurium,,,,,,
sp|O52623|SOPE_SALTMGuanine,WP_000161707.1,Salmonella typhimurium,,,,,,
sp|P0A2M9|SPVC_SALTYMAPK,WP_001122242.1,Salmonella typhimurium,,,,,,
sp|P74873|SPTP_SALTYSecreted,WP_000922300.1,Salmonella typhimurium,,,,,,
sp|Q8ZMM8|PIPB2_SALTYSecreted,WP_001738474.1,Salmonella typhimurium,,,,,,
sp|Q8ZNG2|SSEL_SALTYDeubiquitinase,WP_001017721.1,Salmonella typhimurium,,,,,,
sp|Q8ZQ59|PIPB_SALTYSecreted,WP_001123045.1,Salmonella typhimurium,,,,,,
sp|Q8ZQ79|SSEI_SALTYSecreted,WP_001533476.1,Salmonella typhimurium,,,,,,
sp|Q8ZQC8|SOPD2_SALTYSecreted,WP_001145561.1,Salmonella typhimurium,,,,,,
sp|Q9FD10|SSEJ_SALTYSecreted,WP_001131430.1,Salmonella typhimurium,,,,,,
sp|Q9KIB9|SIFB_SALTYSecreted,WP_001122926.1,Salmonella typhimurium,,,,,,
tr|H9L407|H9L407_SALTYSecretion,WP_000690718.1,Salmonella typhimurium,,,,,,
tr|H9L477|H9L477_SALTYSalmonella,WP_001676648.1,Salmonella typhimurium,,,,,,
tr|H9L486|H9L486_SALTYSecretion,WP_000805851.1,Salmonella typhimurium,,,,,,
tr|Q8ZN18|Q8ZN18_SALTYGifsy-1,WP_010989047.1,Salmonella typhimurium,,,,,,
tr|Q8ZNP4|Q8ZNP4_SALTYPutative,WP_010989041.1,Salmonella typhimurium,,,,,,
B2TT97,WP_012421760.1,Shigella boydii,,,,,,
sp|B2TT54|IPA9_SHIB3E3,WP_012421769.1,Shigella boydii,,,,,,
sp|Q31SH3|IPA9_SHIBSE3,WP_000936800.1,Shigella boydii,,,,,,
sp|Q31SR9|OSPF_SHIBSPhosphothreonine,WP_001121865.1,Shigella boydii,,,,,,
tr|Q6XVT8|Q6XVT8_SHIFLIpaH1.4,WP_000597721.1,Shigella boydii,,,,,,
tr|B2TSV7|B2TSV7_SHIB3OspC3,WP_000701115.1,Shigella boydii serotype 18 (strain CDC 3083-94 / BS512),Margarita (verified by Ella),,not proven,,,
sp|Q2ET08|OSPF_SHIDYPhosphothreonine,Q2ET08.1,Shigella dysenteriae,,,,,,
sp|Q326Z6|IPA9_SHIDSE3,WP_000936809.1,Shigella dysenteriae,,,,,,
sp|Q327I2|OSPF_SHIDSPhosphothreonine,WP_001121864.1,Shigella dysenteriae,,,,,,
tr|Q326S7|Q326S7_SHIDSIpgB1,WP_001166524.1,Shigella dysenteriae,,,,,,
tr|Q327E0|Q327E0_SHIDSOspC1,WP_011379035.1,Shigella dysenteriae,Margarita (verified by Ella),,not proven,,,
F5P1A2,EGJ02256.1,Shigella dysenteriae 155-74,,,,,,
sp|Q326N4|VIRA_SHIDSCysteine,AHA69218.1,Shigella dysenteriae 1617,,,,,,
tr|Q326T5|Q326T5_SHIDSIpaJ,ABB64673.1,Shigella dysenteriae Sd197,,,,,,
tr|Q327J1|Q327J1_SHIDSOspB,ABB64517.1,Shigella dysenteriae Sd197,,,,,,
D2AJI9,WP_000601043.1,Shigella flexneri,,,,,,
E7TGZ5,WP_001195008.1,Shigella flexneri,,,,,,
F5P8E5,EFT1820846.1,Shigella flexneri,,,,,,
gi|212374961|pdb|3CVR|AChain,QIY48428.1,Shigella flexneri,,,,,,
gi|218681822|pdb|3EE1|AChain,3EE1_A,Shigella Flexneri,,,,,,
H6S51_RS00060,WP_010921598.1,Shigella flexneri,,,,,,
H6S51_RS00135,WP_010921606.1,Shigella flexneri,,,,,,
H6S51_RS00275,WP_010921624.1,Shigella flexneri,,,,,,
H6S51_RS00640,WP_031192845.1,Shigella flexneri,,,,,,
common_OspI__uniprot_Q8VSD5__genbank_WP_010921709.1__species_Shigella_flexneri,WP_010921709.1,Shigella flexneri,Noam,?²-lactamase translocation assay,proven,,H6S51_RS00995,H6S51_RS00995_Shigella_flexneri [locus_tag=] [protein=type III secretion system effector OspI] [protein_id=WP_010921709.1] [location=complement(169912..170550)] [gbkey=CDS]
H6S51_RS01030,WP_031942481.1,Shigella flexneri,,,,,,
H6S51_RS01215,WP_031942484.1,Shigella flexneri,,,,,,
Q6XVY7,WP_001166515.1,Shigella flexneri,,,,,,
Q6XVZ2,WP_005059309.1,Shigella flexneri,,,,,,
sp|D2AJU0|IPA9_SHIF2E3,WP_000936806.1,Shigella flexneri,,,,,,
sp|P18009|IPA4_SHIFLProbable,EFQ0498413.1,Shigella flexneri,,,,,,
sp|P18010|IPAA_SHIFLInvasin,WP_005063225.1,Shigella flexneri,,,,,,
common_IpaH7.8__genbank_WP_010921637.1__uniprot_P18014__species_Shigella_flexneri,WP_010921637.1,Shigella flexneri,Margarita (verified by Ella),"Immunoblot, immunofluorescence",proven,,sp|P18014|IPA7_SHIFLProbable,sp|P18014|IPA7_SHIFLProbable_Shigella_flexneri E3 ubiquitin-protein ligase ipaH7.8 OS=Shigella flexneri GN=ipaH7.8 PE=1 SV=2|26120140|
common_IcsB__genbank_WP_010921665.1_uniprot_P33546__species_Shigella_flexneri,WP_010921665.1,Shigella flexneri,Margarita (verified by Ella),Immunoblot,proven,,sp|P33546|ICSB_SHIFLVirulence,sp|P33546|ICSB_SHIFLVirulence_Shigella_flexneri protein IcsB OS=Shigella flexneri GN=icsB PE=3 SV=2|24391954|
common_Ipb1__genbank_WP_001166521.1__uniprot_P33548__species_Shigella_flexneri,WP_001166521.1,Shigella flexneri,Margarita (verified by Ella),"Immunoblot, immunofluorescence",proven,,sp|P33548|IPGB_SHIFLProtein,sp|P33548|IPGB_SHIFLProtein_Shigella_flexneri IpgB OS=Shigella flexneri GN=ipgB PE=4 SV=1|24391954|
sp|Q07566|IPGD_SHIFLInositol,WP_010921667.1,Shigella flexneri,,,,,,
sp|Q7BU69|VIRA_SHIFLCysteine,WP_001195004.1,Shigella flexneri,,,,,,
sp|Q83RJ4|IPA3_SHIFLE3,WP_011069360.1,Shigella flexneri,,,,,,
sp|Q8VSC3|IPA9_SHIFLE3,WP_011114775.1,Shigella flexneri,,,,,,
sp|Q8VSP9|OSPF_SHIFLPhosphothreonine,WP_001121867.1,Shigella flexneri,,,,,,
tr|D2AJ46|D2AJ46_SHIF2OspB,WP_001046939.1,Shigella flexneri,,,,,,
tr|D2AJ54|D2AJ54_SHIF2OspD2,WP_005061014.1,Shigella flexneri,,,,,,
tr|D2AJ70|D2AJ70_SHIF2OspD1,EFW4480504.1,Shigella flexneri,,,,,,
tr|D2AJE7|D2AJE7_SHIF2OspD3,EGO8347196.1,Shigella flexneri,,,,,,
tr|D2AJI2|D2AJI2_SHIF2IpaA,EFY8494052.1,Shigella flexneri,,,,,,
tr|Q7BEN0|Q7BEN0_SHIFLEnterotoxin,EFY4124731.1,Shigella flexneri,,,,,,
tr|Q9AJW7|Q9AJW7_SHIFLIpgB2,WP_000901798.1,Shigella flexneri,,,,,,
common_OspZ__genbank_WP_000625262.1__uniprot_A0A3T2V133__species_Shigella_flexneri,WP_000625262.1,Shigella flexneri,Ella,"Immunoblot, immunofluorescence",proven,,,
tr|Q7BEG8|Q7BEG8_SHIFL,WP_010921625.1,Shigella flexneri 5a,,,,,,
H6S51_RS00055,AAK18323.1,Shigella flexneri 5a str. M90T,,,,,,
H6S51_RS00590,WP_005059304.1,Shigella flexneri 5a str. M90T,,,,,,
tr|Q9AFT7|Q9AFT7_SHIFL,AAK18422.1,Shigella flexneri 5a str. M90T,,,,,,
gi|170785301|pdb|3CKD|AChain,AKK57168.1,Shigella flexneri G1663,,,,,,
F5P4G0,EGK31209.1,Shigella flexneri K-227,,,,,,
F5P4G7,EGK31202.1,Shigella flexneri K-227,,,,,,
F5P4G8,EGK31201.1,Shigella flexneri K-227,,,,,,
F5P8E4,EGK39641.1,Shigella flexneri K-304,,,,,,
F5MNS9,EGJ95512.1,Shigella flexneri K-671,,,,,,
F5MNT0,EGJ95508.1,Shigella flexneri K-671,,,,,,
sp|D2AJU3|OSPG_SHIF2Protein,4BVU_A,Shigella flexneri serotype X (strain 2002017),,,,,,
sp|Q3YTH5|IPA9_SHISSE3,WP_000936807.1,Shigella sonnei,,,,,,
sp|Q3YTK0|VIRA_SHISSCysteine,WP_001195010.1,Shigella sonnei,,,,,,
sp|Q3YTY3|OSPF_SHISSPhosphothreonine,WP_001121863.1,Shigella sonnei,,,,,,
sp|Q55286|IPGD_SHISOInositol,WP_000548325.1,Shigella sonnei,,,,,,
tr|Q3YTN8|Q3YTN8_SHISSMxiL,WP_000609862.1,Shigella sonnei (strain Ss046),Ella,,not proven,based on homology,,
D5CLS9,WP_013030422.1,Sideroxydans lithotrophicus,Ella,,not proven,homolog to HopPmaJ,,
sp|P55456|Y4FR_RHISNProbable,WP_010875377.1,Sinorhizobium fredii,,,,,,
sp|P55555|Y4LO_SINFNUncharacterized,WP_010875286.1,Sinorhizobium fredii,,,,,,
sp|P55704|NOPL_SINFNNodulation,WP_010875118.1,Sinorhizobium fredii,,,,,,
sp|P55724|NOPP_SINFNEffector,WP_010875098.1,Sinorhizobium fredii,,,,,,
sp|P55730|Y4ZC_SINFNPutative,WP_010875091.1,Sinorhizobium fredii,,,,,,
tr|Q50EL2|Q50EL2_RHIFRNopP,WP_041409855.1,Sinorhizobium fredii,,,,,,
WP_097587933.1,WP_097587933.1,Sinorhizobium fredii,,,,,,
CEO91485.1,CCE98838.1,Sinorhizobium fredii HH103,,,,,,
AGH09914.1,WP_015633421.1,Sinorhizobium/Ensifer group,,,,,,
AGH09924.1,WP_014857546.1,Sinorhizobium/Ensifer group,,,,,,
WP_010875097.1,WP_010875097.1,Sinorhizobium/Ensifer group,,,,,,
common_SG0576__uniprot_Q2NVH4__genbank_BAE73851.1__species_Sodalis_glossinidius,AAS66853.1,Sodalis glossinidius,Tal,"secretion to HELA cells, TEM-1 microscopy assay",proven,,tr|Q6R8C3|Q6R8C3_SODGLYspA,tr|Q6R8C3|Q6R8C3_SODGLYspA_Sodalis_glossinidius OS=Sodalis glossinidius GN=yspA PE=4 SV=1|24391954|
common_SG0764__uniprot_Q2NUY6__genbank_BAE74039.1__species_Sodalis_glossinidius_str._'morsitans',BAE74039.1,Sodalis glossinidius str. 'morsitans',Tal,"secretion to HELA cells, TEM-1 microscopy assay",proven,In Ella's fasta,,
G4DB19,WP_006460360.1,Thiomicrospira aerophila,Ella,,not proven,homolog to hopPmaJ,,
A7K1U2,WP_006742035.1,Vibrio antiquarius,Ella,,not proven,homolog to hopPmaJ,,
A6AUE3,EDL67624.1,Vibrio campbellii HY01,Ella,,not proven,homolog to HopPmaJ,,
tr|C5IZN1|C5IZN1_VIBCLVopF,WP_148528560.1,Vibrio cholerae,,,,,,
B8K6S6,WP_005471231.1,Vibrio furnissii,Ella,,not proven,homolog to HopPmaJ,,
C9PGS9,WP_004726953.1,Vibrio furnissii,Ella,,not proven,homolog to HopPmaJ,,
F0LXU3,WP_014257527.1,Vibrio furnissii,Ella,,not proven,homolog to HopPmaJ,,
C9QFQ5,WP_004412018.1,Vibrio orientalis,Ella,,not proven,homolog to HopPmaJ,,
sp|Q87P32|VOPS_VIBPAAdenosine,WP_005464511.1,Vibrio parahaemolyticus,,,,,,
tr|B9A807|B9A807_VIBPHPutative,BAH15041.1,Vibrio parahaemolyticus,,,,,,
common_VopC__uniprot_B9A810__genbank_AB455531.1__species_Vibrio_parahaemolyticus,BAH15044.1,Vibrio parahaemolyticus,Tal,cyA,proven,,tr|B9A810|B9A810_VIBPHPutative,tr|B9A810|B9A810_VIBPHPutative_Vibrio_parahaemolyticus type III secretion system effector protein VopC OS=Vibrio parahaemolyticus GN=vopC PE=4 SV=1|23437191|
tr|Q6PLD0|Q6PLD0_VIBPHOuter,WP_015313492.1,Vibrio parahaemolyticus,,,,,,
tr|Q87GE5|Q87GE5_VIBPAUncharacterized,WP_005491021.1,Vibrio parahaemolyticus,,,,,,
common_VopV__uniprot_Q87GF9__genbank_WP_011106489.1__species_Vibrio_parahaemolyticus,WP_011106489.1,Vibrio parahaemolyticus,Tal,translocation essay in HeLa cells,proven,,tr|Q87GF9|Q87GF9_VIBPAUncharacterized,tr|Q87GF9|Q87GF9_VIBPAUncharacterized_Vibrio_parahaemolyticus protein OS=Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633) GN=VPA1357 PE=4 SV=1|26120140|
tr|Q87GI9|Q87GI9_VIBPAPutative,WP_005463241.1,Vibrio parahaemolyticus,,,,,,
tr|Q87P35|Q87P35_VIBPAUncharacterized,WP_005464656.1,Vibrio parahaemolyticus,,,,,,
common_VopQ__uniprot_Q87P38__genbank_WP_005464333.1__species_Vibrio_parahaemolyticus,WP_005464333.1,Vibrio parahaemolyticus,Tal,translocation essay in HeLa cells,proven,,tr|Q87P38|Q87P38_VIBPAUncharacterized,tr|Q87P38|Q87P38_VIBPAUncharacterized_Vibrio_parahaemolyticus protein OS=Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633) GN=VP1680 PE=4 SV=1|23437191|
